datetime,date,account_type,category,type,asset_class,name,symbol,shares,price,amount,fee,tax,currency,original_amount,original_currency,fx_rate,description,transaction_id,counterparty_name,counterparty_iban,payment_reference,mcc_code
2026-02-28T08:00:00.000000Z,2026-02-28,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Jane Doe,,,,,,,EUR,,,,"Savings transfer",00000000-0000-4002-8000-00000000000c,Jane Doe,DE27100777770209299700,,
2026-03-01T09:30:00.000000Z,2026-03-01,DEFAULT,CASH,CUSTOMER_INBOUND,,Jane Doe,,,,,,,EUR,,,,"Monthly salary March 2026",00000000-0000-4003-8000-000000000001,Jane Doe,DE89370400440532013000,,
2026-03-01T10:00:00.000000Z,2026-03-01,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Hausverwaltung Berlin Mitte,,,,,,,EUR,,,,"Rent March 2026",00000000-0000-4003-8000-000000000002,Hausverwaltung Berlin Mitte,DE02120300000000202051,Miete 03/2026,
2026-03-01T11:00:00.000000Z,2026-03-01,DEFAULT,CASH,CUSTOMER_OUTBOUND,,FitnessFi Sport GmbH,,,,,,,EUR,,,,"Monthly gym membership",00000000-0000-4003-8000-000000000003,FitnessFi Sport GmbH,DE56200400600534561800,Mitgliedschaft 03/2026,7997
2026-03-05T10:20:00.000000Z,2026-03-05,DEFAULT,TRADING,BUY,STOCK,Microsoft,US5949181045,5.0,378.2,-1891.0,-1.0,,EUR,,,,,00000000-0000-4003-8000-000000000004,,,,
2026-03-07T14:45:00.000000Z,2026-03-07,DEFAULT,TRADING,BUY,STOCK,Apple,US0378331005,5.0,194.8,-974.0,-1.0,,EUR,,,,,00000000-0000-4003-8000-000000000005,,,,
2026-03-10T11:30:00.000000Z,2026-03-10,DEFAULT,TRADING,SELL,STOCK,NVIDIA,US67066G1040,1.0,720.5,720.5,-1.0,-18.68,EUR,,,,,00000000-0000-4003-8000-000000000006,,,,
2026-03-15T09:00:00.000000Z,2026-03-15,DEFAULT,TRADING,BUY,FUND,iShares Core S&P 500 UCITS ETF,IE00B5BMR087,8.0,520.0,-4160.0,-2.0,,EUR,,,,,00000000-0000-4003-8000-000000000007,,,,
2026-03-20T16:00:00.000000Z,2026-03-20,DEFAULT,TRADING,DIVIDEND,STOCK,Apple,US0378331005,,,3.5,,-0.52,EUR,3.75,USD,0.9333,"Quarterly dividend",00000000-0000-4003-8000-000000000008,,,,
2026-03-12T18:00:00.000000Z,2026-03-12,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Lidl,,,,,,,EUR,,,,,00000000-0000-4003-8000-000000000009,Lidl,,,5411
2026-03-14T00:00:00.000000Z,2026-03-14,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Telekom Deutschland GmbH,,,,,,,EUR,,,,"Monthly internet",00000000-0000-4003-8000-00000000000a,Telekom Deutschland GmbH,DE12500105170648489890,,4813
2026-03-15T00:00:00.000000Z,2026-03-15,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Stadtwerke Berlin,,,,,,,EUR,,,,"Monthly electricity",00000000-0000-4003-8000-00000000000b,Stadtwerke Berlin,DE44500105175407324931,,4911
2026-03-19T20:30:00.000000Z,2026-03-19,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Zum goldenen Löwen,,,,,,,EUR,,,,,00000000-0000-4003-8000-00000000000c,Zum goldenen Löwen,,,5812
2026-03-31T00:00:00.000000Z,2026-03-31,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Allianz Versicherung,,,,,,,EUR,,,,"Quarterly insurance premium",00000000-0000-4003-8000-00000000000d,Allianz Versicherung,DE75200400600220201100,,6399
2026-03-31T08:00:00.000000Z,2026-03-31,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Jane Doe,,,,,,,EUR,,,,"Savings transfer",00000000-0000-4003-8000-00000000000e,Jane Doe,DE27100777770209299700,,
2026-04-01T09:30:00.000000Z,2026-04-01,DEFAULT,CASH,CUSTOMER_INBOUND,,Jane Doe,,,,,,,EUR,,,,"Monthly salary April 2026",a1b2c3d4-e5f6-7890-abcd-ef1234567890,Jane Doe,DE89370400440532013000,,
2026-04-01T10:00:00.000000Z,2026-04-01,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Hausverwaltung Berlin Mitte,,,,,,,EUR,,,,"Rent April 2026",00000000-0000-4004-8000-000000000001,Hausverwaltung Berlin Mitte,DE02120300000000202051,Miete 04/2026,
2026-04-01T11:00:00.000000Z,2026-04-01,DEFAULT,CASH,CUSTOMER_OUTBOUND,,FitnessFi Sport GmbH,,,,,,,EUR,,,,"Monthly gym membership",00000000-0000-4004-8000-000000000002,FitnessFi Sport GmbH,DE56200400600534561800,Mitgliedschaft 04/2026,7997
2026-04-03T14:22:33.412Z,2026-04-03,DEFAULT,TRADING,BUY,STOCK,Apple,US0378331005,5.0,192.34,-961.7,-1.0,,EUR,,,,,b2c3d4e5-f6a7-8901-bcde-f12345678901,,,,
2026-04-05T10:05:12.781Z,2026-04-05,DEFAULT,TRADING,BUY,FUND,Core MSCI World USD (Acc),IE00B4L5Y983,12.0,85.25,-1023.0,-1.0,,EUR,,,,,c3d4e5f6-a7b8-4012-9def-123456789012,,,,
2026-04-08T08:00:00.123456Z,2026-04-08,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Jane Doe,,,,,,,EUR,,,,"Savings transfer",d4e5f6a7-b8c9-4123-8efa-234567890123,Jane Doe,DE27100777770209299700,,
2026-04-08T17:00:00.000000Z,2026-04-08,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Rewe,,,,,,,EUR,,,,,00000000-0000-4004-8000-000000000003,Rewe,,,5411
2026-04-10T18:45:10.552Z,2026-04-10,DEFAULT,TRADING,BUY,FUND,MSCI EM USD (Acc),IE00B4L5YC18,8.0,38.12,-304.96,-1.0,,EUR,,,,,e5f6a7b8-c9d0-4234-8fab-345678901234,,,,
2026-04-14T00:00:00.000000Z,2026-04-14,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Telekom Deutschland GmbH,,,,,,,EUR,,,,"Monthly internet",00000000-0000-4004-8000-000000000004,Telekom Deutschland GmbH,DE12500105170648489890,,4813
2026-04-15T07:15:00.000000Z,2026-04-15,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Stadtwerke Berlin,,,,,,,EUR,,,,"Monthly electricity",f6a7b8c9-d0e1-4345-9abc-456789012345,Stadtwerke Berlin,DE44500105175407324931,,4911
2026-04-20T11:30:00.331Z,2026-04-20,DEFAULT,TRADING,SELL,STOCK,Apple,US0378331005,2.0,198.76,397.52,-1.0,,EUR,,,,,a7b8c9d0-e1f2-3456-abcd-567890123456,,,,
2026-04-20T19:30:00.000000Z,2026-04-20,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Trattoria Roma,,,,,,,EUR,,,,,00000000-0000-4004-8000-000000000005,Trattoria Roma,,,5812
2026-04-25T16:20:45.900123Z,2026-04-25,DEFAULT,TRADING,DIVIDEND,STOCK,Apple,US0378331005,,,4.9,,-0.73,EUR,5.25,USD,0.9333,"Quarterly dividend",b8c9d0e1-f2a3-4567-bcde-678901234567,,,,
2026-04-28T11:00:00.000000Z,2026-04-28,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Netto,,,,,,,EUR,,,,,00000000-0000-4004-8000-000000000006,Netto,,,5411
2026-05-01T09:30:00.000000Z,2026-05-01,DEFAULT,CASH,CUSTOMER_INBOUND,,Jane Doe,,,,,,,EUR,,,,"Monthly salary May 2026",00000000-0000-4005-8000-000000000001,Jane Doe,DE89370400440532013000,,
2026-05-01T10:00:00.000000Z,2026-05-01,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Hausverwaltung Berlin Mitte,,,,,,,EUR,,,,"Rent May 2026",00000000-0000-4005-8000-000000000002,Hausverwaltung Berlin Mitte,DE02120300000000202051,Miete 05/2026,
2026-05-01T11:00:00.000000Z,2026-05-01,DEFAULT,CASH,CUSTOMER_OUTBOUND,,FitnessFi Sport GmbH,,,,,,,EUR,,,,"Monthly gym membership",00000000-0000-4005-8000-000000000003,FitnessFi Sport GmbH,DE56200400600534561800,Mitgliedschaft 05/2026,7997
2026-05-06T10:30:00.000000Z,2026-05-06,DEFAULT,TRADING,BUY,STOCK,Microsoft,US5949181045,3.0,390.0,-1170.0,-1.0,,EUR,,,,,00000000-0000-4005-8000-000000000004,,,,
2026-05-08T10:00:00.000000Z,2026-05-08,DEFAULT,TRADING,BUY,FUND,MSCI EM USD (Acc),IE00B4L5YC18,10.0,38.6,-386.0,-1.0,,EUR,,,,,00000000-0000-4005-8000-000000000005,,,,
2026-05-12T18:30:00.000000Z,2026-05-12,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Lidl,,,,,,,EUR,,,,,00000000-0000-4005-8000-000000000006,Lidl,,,5411
2026-05-14T00:00:00.000000Z,2026-05-14,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Telekom Deutschland GmbH,,,,,,,EUR,,,,"Monthly internet",00000000-0000-4005-8000-000000000007,Telekom Deutschland GmbH,DE12500105170648489890,,4813
2026-05-15T00:00:00.000000Z,2026-05-15,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Stadtwerke Berlin,,,,,,,EUR,,,,"Monthly electricity",00000000-0000-4005-8000-000000000008,Stadtwerke Berlin,DE44500105175407324931,,4911
2026-05-20T19:00:00.000000Z,2026-05-20,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Buddha Palace,,,,,,,EUR,,,,,00000000-0000-4005-8000-000000000009,Buddha Palace,,,5812
2026-05-21T16:00:00.000000Z,2026-05-21,DEFAULT,TRADING,DIVIDEND,STOCK,Microsoft,US5949181045,,,6.18,,-0.92,EUR,6.64,USD,0.931,"Quarterly dividend",00000000-0000-4005-8000-00000000000a,,,,
2026-05-25T11:00:00.000000Z,2026-05-25,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Rewe,,,,,,,EUR,,,,,00000000-0000-4005-8000-00000000000b,Rewe,,,5411
2026-05-28T08:00:00.000000Z,2026-05-28,DEFAULT,CASH,CUSTOMER_OUTBOUND,,Jane Doe,,,,,,,EUR,,,,"Savings transfer",00000000-0000-4005-8000-00000000000c,Jane Doe,DE27100777770209299700,,
